analysis_id,0w235353t3v0054
parameter_id,IMPC_GRS_009_001
gene_symbol,Dmap1
mouse_life_stage,E12.5
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_accession_id,MGI:1913483
pvalue,0.1725995
mouse_strain,C57BL
