analysis_id,9yw284416c52rr6
gene_symbol,Maco1
pvalue,0.5223224
parameter_id,IMPC_XRY_066_001
parameter_name,Sacral processes
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
mouse_strain,C57BL
