gene_symbol,Nanp
parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,qeqg504200g43jt
pvalue,0.4082406
