parameter_name,Humerus
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_021_001
gene_symbol,Bach2
analysis_id,i3ya859h4nq5o5i
mouse_strain,C57BL
gene_accession_id,MGI:894679
pvalue,0.7193976
