analysis_id,50590g10jp5634m
gene_symbol,Hspa5
pvalue,0.47293
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_name,Neutrophil differential count
parameter_id,IMPC_HEM_029_001
