parameter_name,Whole arena average speed
gene_symbol,Rnf114
parameter_id,ESLIM_007_001_005
mouse_strain,C57BL
pvalue,0.9587737
analysis_id,5e3m55vg699sgl0
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
