gene_symbol,Ufc1
parameter_id,IMPC_EYE_027_001
pvalue,0.3726061
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
parameter_name,Persistence of hyaloid vascular system
mouse_strain,C57BL
analysis_id,0jlg4l2cu945413
