analysis_id,j586bxygu0od198
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
gene_symbol,Bcs1l
pvalue,1.440808
parameter_name,PR
mouse_strain,C57BL
parameter_id,IMPC_ECG_006_001
