analysis_id,0l7050gat48e0f0
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
parameter_id,IMPC_CBC_012_001
mouse_strain,C57BL
pvalue,0.5914918
parameter_name,Aspartate aminotransferase
gene_symbol,Ola1
