analysis_id,o6o03fb777ysyhh
pvalue,0.1037634
parameter_name,Ly6Clow monocyte number
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
gene_symbol,Ssr2
parameter_id,MGP_PBI_038_001
