parameter_name,Periphery distance travelled
gene_symbol,Inpp1
pvalue,0.4717356
gene_accession_id,MGI:104848
mouse_strain,C57BL
analysis_id,4ufo40996sv938y
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_010_001
