parameter_name,Embryo Size
mouse_strain,C57BL
parameter_id,IMPC_GEO_019_001
mouse_life_stage,Early adult
analysis_id,6825hx1e036ck35
gene_accession_id,MGI:109356
gene_symbol,Snap23
pvalue,0.4749565
