analysis_id,1o725c6o268k3ow
gene_symbol,Bcs1l
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
pvalue,0.3896512
