analysis_id,18j0eq9h57kq2o6
pvalue,0.4563674
parameter_id,IMPC_ECH_005_001
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Ddx27
parameter_name,Fractional Shortening
