parameter_name,Body position
gene_accession_id,MGI:1917810
gene_symbol,Wars2
pvalue,0.4458332
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,0v6y87x163uym8w
parameter_id,ESLIM_008_001_001
