analysis_id,198zu7t81s0fb17
gene_symbol,Bpifa3
parameter_name,Plasmacytoid DC - % of DC
gene_accession_id,MGI:1920638
parameter_id,MGP_MLN_058_001
pvalue,0.6421713
mouse_strain,C57BL
mouse_life_stage,Early adult
