parameter_name,Limb morphology
mouse_life_stage,Early adult
pvalue,0.2948748
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
gene_symbol,Morn5
analysis_id,5l6k6jzta9h26u4
gene_accession_id,MGI:1922745
