analysis_id,e00ysrg23ra1o3g
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Average duration
pvalue,0.08972401
gene_symbol,Frmpd1
parameter_id,JAX_ROT_002_001
