parameter_name,Time mobile dark side
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
gene_accession_id,MGI:1916363
analysis_id,l5e513qe36scq5p
gene_symbol,Alkbh3
mouse_strain,C57BL
pvalue,0.4742673
