analysis_id,y9vx22kdh7qsfg0
parameter_id,IMPC_DXA_009_001
gene_symbol,Cd52
pvalue,1.453086
gene_accession_id,MGI:1346088
mouse_strain,C57BL
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
