gene_symbol,Maco1
parameter_name,Center permanence time
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
analysis_id,1h5s302bh6o1d25
pvalue,0.7031851
