analysis_id,2fxm52f6xxg105q
gene_accession_id,MGI:104640
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
pvalue,0.1524472
parameter_id,MGP_PBI_033_001
gene_symbol,Rab17
