analysis_id,usq02obnc449x79
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
parameter_name,Center distance travelled
gene_symbol,Ola1
mouse_life_stage,Early adult
pvalue,0.5584076
gene_accession_id,MGI:1914309
