gene_symbol,Ola1
analysis_id,kmwlk1g11xzv638
mouse_life_stage,E18.5
pvalue,0.4641898
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1914309
parameter_id,MGP_MLN_031_001
