gene_symbol,Mov10
analysis_id,s5b329002e586t6
mouse_life_stage,Early adult
pvalue,0.3781817
parameter_name,KLRG1+ NK cells - % of CD45+
parameter_id,MGP_IMM_101_001
gene_accession_id,MGI:97054
mouse_strain,C57BL
