gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_010_001
pvalue,0.09663548
parameter_name,HRV
analysis_id,7h0mf8ng0704e29
