parameter_name,Percent time in dark
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
parameter_id,JAX_LDT_008_001
gene_symbol,Zyg11b
mouse_strain,C57BL
analysis_id,0ui34d03ix608e9
pvalue,0.378922
