parameter_name,Narrow eye opening
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
pvalue,0.05596364
analysis_id,t5e684yu4n357r9
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_006_001
