analysis_id,z8ry30pw0m5mexn
mouse_life_stage,Early adult
gene_symbol,Maco1
parameter_name,Latency to first transition into dark
mouse_strain,C57BL
pvalue,0.8117281
gene_accession_id,MGI:1913396
parameter_id,IMPC_LDT_006_001
