mouse_life_stage,Late adult
gene_accession_id,MGI:109356
parameter_id,IMPC_ACS_034_001
gene_symbol,Snap23
mouse_strain,C57BL
analysis_id,ed5tfq2l7874oh4
pvalue,0.6600891
parameter_name,% Pre-pulse inhibition - PPI2
