analysis_id,32n4aum0z9ks86r
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
parameter_id,MGP_PBI_010_001
mouse_strain,C57BL
gene_symbol,Mms22l
pvalue,0.6803136
