parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:1920344
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.8320284
mouse_life_stage,Early adult
analysis_id,880qd8c2t658ynw
gene_symbol,Sgip1
