gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
parameter_name,Light side time spent
analysis_id,y6mn8f39p50q0o0
pvalue,0.6705749
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
