parameter_id,IMPC_ABR_002_001
analysis_id,o77ac7267p7j2x3
mouse_life_stage,Early adult
gene_symbol,Cpa3
pvalue,0.161932
mouse_strain,C57BL
parameter_name,Click-evoked ABR threshold
gene_accession_id,MGI:88479
