analysis_id,7b2p83v3mc0zx0g
gene_symbol,Dnajc8
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
mouse_strain,C57BL
pvalue,0.1131336
parameter_id,IMPC_HEM_008_001
parameter_name,Platelet count
