parameter_name,Vitreous
gene_accession_id,MGI:3616086
pvalue,0.2207967
analysis_id,5oo8e22y2w27tw1
mouse_life_stage,Early adult
gene_symbol,Kcng1
mouse_strain,C57BL
parameter_id,UCDLA_EYE_083_001
