gene_symbol,Opn3
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:1338022
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.7779135
analysis_id,i455p0z9a755b95
mouse_strain,C57BL
mouse_life_stage,Early adult
