parameter_name,Joints
pvalue,0.9273002
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,y3zd87yk38mm5il
