parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
pvalue,0.884492
analysis_id,691a1dk102h86d0
gene_accession_id,MGI:1914556
