analysis_id,3049isrv6u8h89w
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
pvalue,0.9008576
parameter_name,Retina (combined)
