analysis_id,61f22sn319m83nl
gene_symbol,Col6a3
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6295873
parameter_id,IMPC_CBC_009_001
parameter_name,Calcium
gene_accession_id,MGI:88461
