analysis_id,49970sxh8a480u6
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
parameter_name,Limb grasping
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
pvalue,0.2836184
