analysis_id,3l881ecx580w6a4
mouse_life_stage,Early adult
gene_symbol,Tatdn3
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1916222
parameter_id,MGP_IMM_131_001
pvalue,0.5272222
