gene_symbol,Ppm1j
pvalue,0.6714617
parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:1919137
analysis_id,0hme462t65ayi7k
mouse_strain,C57BL
