gene_symbol,Ddx27
mouse_strain,C57BL
analysis_id,ji6o24g30ma64z3
parameter_id,IMPC_DXA_009_001
pvalue,0.8242741
gene_accession_id,MGI:2385884
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
