gene_symbol,Morn5
gene_accession_id,MGI:1922745
pvalue,0.9105979
parameter_id,MGP_CSD_008_001
analysis_id,r36f47482h99mj8
mouse_life_stage,Early adult
parameter_name,Startle response
mouse_strain,C57BL
