analysis_id,tj64241vgz03382
mouse_strain,C57BL
gene_symbol,Gfi1b
parameter_id,ESLIM_011_001_009
gene_accession_id,MGI:1276578
parameter_name,PP3 + pulse startle magnitude
mouse_life_stage,Early adult
pvalue,0.3210054
