parameter_name,Limb grasp
gene_symbol,Ints7
analysis_id,x461c49pzn5ek9a
mouse_strain,C57BL
parameter_id,JAXLA_CSD_039_001
pvalue,0.154846
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
