parameter_name,Lean/Body weight
analysis_id,we12530zpk631cw
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_702
mouse_strain,C57BL
gene_accession_id,MGI:1931749
gene_symbol,Pum1
pvalue,0.4170151
