gene_symbol,Dcaf10
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2140179
parameter_id,IMPC_DXA_009_001
analysis_id,r6mkc2361c11yz4
pvalue,0.7792971
parameter_name,Fat/Body weight
