parameter_name,Eosinophil number
gene_accession_id,MGI:1332236
pvalue,0.8282711
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_040_001
analysis_id,64j0n4wr9325191
gene_symbol,Cds2
