parameter_id,MGP_CSD_015_001
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_name,Head coat/hair presence
pvalue,0.4400417
mouse_life_stage,E15.5
gene_symbol,Mapkap1
analysis_id,8fg2g6dy15guv9j
