analysis_id,3mq2076o63s4s8t
mouse_life_stage,Early adult
gene_symbol,Zcchc2
parameter_id,IMPC_IMM_025_001
pvalue,0.3787609
mouse_strain,C57BL
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:2444114
