analysis_id,04694vygic60244
mouse_strain,C57BL
parameter_name,Tremor
gene_accession_id,MGI:1922082
pvalue,0.6170474
parameter_id,IMPC_CSD_030_001
mouse_life_stage,Early adult
gene_symbol,Slc45a3
