gene_symbol,Dnajc5b
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
mouse_life_stage,Early adult
parameter_name,Tibia
analysis_id,baq64x758u33rt1
pvalue,0.5516966
gene_accession_id,MGI:1913576
