analysis_id,24483x10vl8r972
mouse_strain,C57BL
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
parameter_name,Calcium
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_009_001
pvalue,0.614743
