analysis_id,82a1q9yw48e3529
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,IMPC_ECG_002_001
mouse_strain,C57BL
pvalue,0.7301212
parameter_name,HR
mouse_life_stage,E9.5
