gene_symbol,Tiprl
mouse_strain,C57BL
analysis_id,0kg22n986yi7g91
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
parameter_name,Naive CD8+ T cells - % of CD8+
pvalue,0.8305734
parameter_id,MGP_MLN_015_001
