analysis_id,tywqgic7125d484
parameter_id,MGP_MLN_013_001
gene_symbol,Tiprl
mouse_strain,C57BL
pvalue,0.848892
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:1915087
mouse_life_stage,Early adult
