gene_symbol,Cldn19
parameter_name,Prepulse inhibition - PP2
gene_accession_id,MGI:3033992
parameter_id,ESLIM_011_001_702
pvalue,0.4107546
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,27u10sls3p094p1
