gene_symbol,Ddx27
analysis_id,7suj1y264u9r5v6
mouse_life_stage,Early adult
pvalue,0.6934271
parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:2385884
