pvalue,0.4969503
parameter_name,KLRG1+ gd T cells - % of gd T cells
parameter_id,MGP_IMM_022_001
analysis_id,hqa9407iypho39e
gene_accession_id,MGI:96646
gene_symbol,Jun
mouse_life_stage,E15.5
mouse_strain,C57BL
