parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
mouse_life_stage,Early adult
mouse_strain,C58BL
gene_symbol,Mms22l
pvalue,0.9287572
analysis_id,qk5k416fvko1k6h
gene_accession_id,MGI:2684980
