parameter_name,Corneal vascularization
gene_symbol,Mecom
pvalue,0.9808744
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
mouse_strain,C3H
analysis_id,9i49ow7t070c4w2
gene_accession_id,MGI:95457
